0,1,2,3,4,5
31116.0,2019-11-01,"(354.921, 625.75]",4,24,-20
31116.0,2019-11-01,"(625.75, 895.5]",12,22,-10
31116.0,2019-11-01,"(895.5, 1165.25]",12,25,-13
31116.0,2019-11-01,"(1165.25, 1435.0]",6,10,-4
31117.0,2019-11-01,"(322.989, 576.75]",5,24,-19
31117.0,2019-11-01,"(576.75, 829.5]",4,13,-9
31117.0,2019-11-01,"(829.5, 1082.25]",7,15,-8
31117.0,2019-11-01,"(1082.25, 1335.0]",7,11,-4
31118.0,2019-11-01,"(434.997, 686.75]",4,24,-20
31118.0,2019-11-01,"(686.75, 937.5]",4,7,-3
31118.0,2019-11-01,"(937.5, 1188.25]",16,24,-8
31118.0,2019-11-01,"(1188.25, 1439.0]",7,9,-2
31119.0,2019-11-01,"(817.386, 971.5]",4,9,-5
31119.0,2019-11-01,"(971.5, 1125.0]",11,25,-14
31119.0,2019-11-01,"(1125.0, 1278.5]",8,20,-12
31119.0,2019-11-01,"(1278.5, 1432.0]",5,8,-3
31120.0,2019-11-01,"(148.716, 471.0]",4,9,-5
31120.0,2019-11-01,"(471.0, 792.0]",8,19,-11
31120.0,2019-11-01,"(792.0, 1113.0]",9,21,-12
31120.0,2019-11-01,"(1113.0, 1434.0]",12,24,-12
31121.0,2019-11-01,"(354.107, 578.25]",10,17,-7
31121.0,2019-11-01,"(578.25, 801.5]",3,6,-3
31121.0,2019-11-01,"(801.5, 1024.75]",6,15,-9
31121.0,2019-11-01,"(1024.75, 1248.0]",8,25,-17
31122.0,2019-11-01,"(18.604, 369.0]",1,2,-1
31122.0,2019-11-01,"(369.0, 718.0]",2,17,-15
31122.0,2019-11-01,"(718.0, 1067.0]",5,16,-11
31122.0,2019-11-01,"(1067.0, 1416.0]",9,19,-10
31123.0,2019-11-01,"(144.715, 467.25]",2,6,-4
31123.0,2019-11-01,"(467.25, 788.5]",4,23,-19
31123.0,2019-11-01,"(788.5, 1109.75]",5,8,-3
31123.0,2019-11-01,"(1109.75, 1431.0]",4,10,-6
31124.0,2019-11-01,"(38.603, 389.25]",1,2,-1
31124.0,2019-11-01,"(389.25, 738.5]",15,48,-33
31124.0,2019-11-01,"(738.5, 1087.75]",24,47,-23
31124.0,2019-11-01,"(1087.75, 1437.0]",22,60,-38
31125.0,2019-11-01,"(218.79, 522.5]",10,36,-26
31125.0,2019-11-01,"(522.5, 825.0]",7,16,-9
31125.0,2019-11-01,"(825.0, 1127.5]",32,44,-12
31125.0,2019-11-01,"(1127.5, 1430.0]",14,23,-9
31126.0,2019-11-01,"(52.632, 396.0]",3,4,-1
31126.0,2019-11-01,"(396.0, 738.0]",6,37,-31
31126.0,2019-11-01,"(738.0, 1080.0]",21,35,-14
31126.0,2019-11-01,"(1080.0, 1422.0]",22,29,-7
31127.0,2019-11-01,"(171.787, 476.25]",1,2,-1
31127.0,2019-11-01,"(476.25, 779.5]",15,19,-4
31127.0,2019-11-01,"(779.5, 1082.75]",18,35,-17
31127.0,2019-11-01,"(1082.75, 1386.0]",7,25,-18
31128.0,2019-11-01,"(67.635, 410.25]",3,6,-3
31128.0,2019-11-01,"(410.25, 751.5]",29,50,-21
31128.0,2019-11-01,"(751.5, 1092.75]",25,42,-17
31128.0,2019-11-01,"(1092.75, 1434.0]",8,24,-16
31129.0,2019-11-01,"(478.05, 716.5]",13,21,-8
31129.0,2019-11-01,"(716.5, 954.0]",22,35,-13
31129.0,2019-11-01,"(954.0, 1191.5]",11,25,-14
31129.0,2019-11-01,"(1191.5, 1429.0]",1,5,-4
31130.0,2019-11-01,"(33.62, 380.0]",1,2,-1
31130.0,2019-11-01,"(380.0, 725.0]",1,9,-8
31130.0,2019-11-01,"(725.0, 1070.0]",13,24,-11
31130.0,2019-11-01,"(1070.0, 1415.0]",12,18,-6
31131.0,2019-11-01,"(111.674, 444.5]",2,4,-2
31131.0,2019-11-01,"(444.5, 776.0]",1,12,-11
31131.0,2019-11-01,"(776.0, 1107.5]",5,17,-12
31131.0,2019-11-01,"(1107.5, 1439.0]",8,14,-6
31200.0,2019-11-01,"(109.689, 438.75]",3,6,-3
31200.0,2019-11-01,"(438.75, 766.5]",45,65,-20
31200.0,2019-11-01,"(766.5, 1094.25]",30,56,-26
31200.0,2019-11-01,"(1094.25, 1422.0]",23,49,-26
31201.0,2019-11-01,"(0.601, 351.75]",3,8,-5
31201.0,2019-11-01,"(351.75, 701.5]",25,58,-33
31201.0,2019-11-01,"(701.5, 1051.25]",41,64,-23
31201.0,2019-11-01,"(1051.25, 1401.0]",28,50,-22
31202.0,2019-11-01,"(38.626, 383.5]",1,5,-4
31202.0,2019-11-01,"(383.5, 727.0]",14,34,-20
31202.0,2019-11-01,"(727.0, 1070.5]",37,56,-19
31202.0,2019-11-01,"(1070.5, 1414.0]",14,36,-22
31203.0,2019-11-01,"(185.747, 500.25]",6,19,-13
31203.0,2019-11-01,"(500.25, 813.5]",21,49,-28
31203.0,2019-11-01,"(813.5, 1126.75]",34,47,-13
31203.0,2019-11-01,"(1126.75, 1440.0]",30,51,-21
31204.0,2019-11-01,"(60.671, 394.25]",1,1,0
31204.0,2019-11-01,"(394.25, 726.5]",17,25,-8
31204.0,2019-11-01,"(726.5, 1058.75]",6,20,-14
